id,organization,locations_id,employees_id,sectors_id
20569,Gerd Lauermann,312,1.0,7.0
14946,Gerd Pöll,384,1.0,7.0
14960,Gerlinde Lamberty,394,3.0,7.0
14836,germanBroker.net Aktiengesellschaft,497,4.0,13.0
14837,Gertec GmbH Ingenieurgesellschaft,444,3.0,33.0
54126,Gertruden-Hof,492,3.0,25.0
52993,Geschw. Steiner Felseralm GmbH & Co.KG.,81,2.0,37.0
14773,Gesellschaft für angewandte Kommunalforschung,391,3.0,7.0
125273,Gesellschaft für Wirtschaftsförderung und Stadtentwicklung Göttingen mbH,408,5.0,29.0
36874,GESVIT Karl Steinwender e.U.,156,1.0,7.0
14943,Giesinger Biermanufaktur und Spez. Braugesellschaft mbH,620,3.0,8.0
14655,Gitta Walchner,594,1.0,7.0
145512,Gitta Walchner,594,1.0,7.0
36724,global values,685,1.0,7.0
51013,GM Software Systeme GmbH,62,1.0,9.0
24842,Goldeimer gGmbH,288,2.0,33.0
40896,Goldmund Kommunikation,258,1.0,23.0
38102,GÖTTIN DES GLÜCKS eG.,2,2.0,38.0
110900,Göttinger Sport- und Freizeit Verwaltungs GmbH,404,6.0,33.0
84129,Gottwald Finanznavigator,387,1.0,7.0
38692,Graf GmbH,596,3.0,8.0
24840,Graf Metternich-Quellen Karl Schöttker KG,370,4.0,25.0
124473,Gräflich Bernstorff´sche Betriebe,351,4.0,25.0
92377,Grasaica S.L.,843,\N,26.0
92369,Green Urban Data SL,855,\N,26.0
143125,greencentive gUG,472,1.0,33.0
19081,Greenpeace e.V.,290,12.0,33.0
45871,Greenpeace Schweiz,184,5.0,26.0
133351,Greenplanner srl società benefit,875,1.0,23.0
44759,GreenPrint Osttirol e. U.,164,2.0,28.0
157021,GREENs Unlimited GmbH,231,5.0,37.0
64887,GreenWebspace  Riedmatten It Solutions e.U.,4,1.0,9.0
78364,Gregor Meister,200,1.0,33.0
29813,Grenzstrom Vindved GmbH & CoKG,330,2.0,12.0
14750,grimm Vermögensberatung,644,1.0,13.0
44761,GRONAU PHOTOGRAPHIE – Brigitte und Emanuel Gronau GbR,641,1.0,7.0
14838,Gruber+Haumer Landschaftsarchitektur.OG,119,1.0,6.0
19684,Grüne Erde GmbH,56,12.0,38.0
82926,Grünland der Bioladen,347,3.0,38.0
92365,Grupo La Plana,817,\N,26.0
157458,GT Emission Solutions UG,447,3.0,33.0
36903,Gugler GmbH,38,5.0,28.0
